Training Progress in cuda
Epoch 10/5000, Loss: 1.3524512575893868, CPU Load : 49.1 
Epoch 20/5000, Loss: 1.2956094480142362, CPU Load : 55.1 
Epoch 30/5000, Loss: 1.2480381087559025, CPU Load : 54.7 
Epoch 40/5000, Loss: 1.180751102726634, CPU Load : 55.7 
Epoch 50/5000, Loss: 1.1216965652093656, CPU Load : 55.4 
Epoch 60/5000, Loss: 1.0960415296438264, CPU Load : 54.5 
Epoch 70/5000, Loss: 1.0729282411133372, CPU Load : 54.8 
Epoch 80/5000, Loss: 1.0565533521698742, CPU Load : 55.5 
Epoch 90/5000, Loss: 1.0009587436187557, CPU Load : 54.8 
Epoch 100/5000, Loss: 0.9408951081880709, CPU Load : 55.0 
Epoch 110/5000, Loss: 0.8926044586228161, CPU Load : 55.4 
Epoch 120/5000, Loss: 0.8846040673372222, CPU Load : 55.8 
Epoch 130/5000, Loss: 0.8574703146771687, CPU Load : 55.5 
Epoch 140/5000, Loss: 0.8208098382484622, CPU Load : 55.4 
Epoch 150/5000, Loss: 0.7916811850012803, CPU Load : 55.3 
Epoch 160/5000, Loss: 0.739938439392462, CPU Load : 56.1 
Epoch 170/5000, Loss: 0.721656660481197, CPU Load : 56.8 
Epoch 180/5000, Loss: 0.7088227933499871, CPU Load : 54.7 
Epoch 190/5000, Loss: 0.6695797116291232, CPU Load : 54.8 
Epoch 200/5000, Loss: 0.6339810468801638, CPU Load : 56.4 
Epoch 210/5000, Loss: 0.6235587138955186, CPU Load : 56.2 
Epoch 220/5000, Loss: 0.6399785556444307, CPU Load : 56.4 
Epoch 230/5000, Loss: 0.5893658944746343, CPU Load : 55.5 
Epoch 240/5000, Loss: 0.5784192873937327, CPU Load : 56.4 
Epoch 250/5000, Loss: 0.577772715469686, CPU Load : 56.6 
Epoch 260/5000, Loss: 0.5659384931006083, CPU Load : 55.7 
Epoch 270/5000, Loss: 0.5778082136700793, CPU Load : 56.2 
Epoch 280/5000, Loss: 0.5410005319409255, CPU Load : 56.5 
Epoch 290/5000, Loss: 0.5036364146849004, CPU Load : 55.1 
Epoch 300/5000, Loss: 0.4873480302531545, CPU Load : 57.1 
Epoch 310/5000, Loss: 0.4874617406507818, CPU Load : 56.2 
Epoch 320/5000, Loss: 0.5064770455767469, CPU Load : 56.3 
Epoch 330/5000, Loss: 0.47039184701151965, CPU Load : 58.4 
Epoch 340/5000, Loss: 0.4700576593963111, CPU Load : 63.3 
Epoch 350/5000, Loss: 0.43042009051253155, CPU Load : 56.1 
Epoch 360/5000, Loss: 0.3951446995502565, CPU Load : 55.2 
Epoch 370/5000, Loss: 0.395996010885006, CPU Load : 55.9 
Epoch 380/5000, Loss: 0.3950452273938714, CPU Load : 55.0 
Epoch 390/5000, Loss: 0.3389887793398485, CPU Load : 57.2 
Epoch 400/5000, Loss: 0.3188864127164934, CPU Load : 56.2 
Epoch 410/5000, Loss: 0.3034416208179986, CPU Load : 55.7 
Epoch 420/5000, Loss: 0.3009615925753989, CPU Load : 56.4 
Epoch 430/5000, Loss: 0.2955809250110533, CPU Load : 55.7 
Epoch 440/5000, Loss: 0.2901936693162453, CPU Load : 57.1 
Epoch 450/5000, Loss: 0.24840436984853045, CPU Load : 55.9 
Epoch 460/5000, Loss: 0.2511017181706138, CPU Load : 56.4 
Epoch 470/5000, Loss: 0.22553105061737502, CPU Load : 58.9 
Epoch 480/5000, Loss: 0.21248631179332733, CPU Load : 61.0 
Epoch 490/5000, Loss: 0.25447543328855093, CPU Load : 56.0 
Epoch 500/5000, Loss: 0.14891359382649746, CPU Load : 55.8 
Epoch 510/5000, Loss: 0.1731394751497158, CPU Load : 56.2 
Epoch 520/5000, Loss: 0.12097883642446704, CPU Load : 56.0 
Epoch 530/5000, Loss: 0.1641889750594046, CPU Load : 56.4 
Epoch 540/5000, Loss: 0.12301888253267218, CPU Load : 56.2 
Epoch 550/5000, Loss: 0.10058442494127809, CPU Load : 55.9 
Epoch 560/5000, Loss: 0.06749657343891335, CPU Load : 56.2 
Epoch 570/5000, Loss: 0.08682908208631887, CPU Load : 56.2 
Epoch 580/5000, Loss: 0.06893603585478736, CPU Load : 55.0 
Epoch 590/5000, Loss: 0.04909418966257718, CPU Load : 55.0 
Epoch 600/5000, Loss: 0.048823934173347745, CPU Load : 56.2 
Epoch 610/5000, Loss: 0.06566655910687476, CPU Load : 56.2 
Epoch 620/5000, Loss: 0.056892345023409625, CPU Load : 55.7 
Epoch 630/5000, Loss: 0.04198533288634768, CPU Load : 56.3 
Epoch 640/5000, Loss: 0.05704488415589056, CPU Load : 57.1 
Epoch 650/5000, Loss: 0.023901580583031583, CPU Load : 56.8 
Epoch 660/5000, Loss: 0.02646481241780992, CPU Load : 55.9 
Epoch 670/5000, Loss: 0.0217450874426016, CPU Load : 58.3 
Epoch 680/5000, Loss: 0.014060652491114125, CPU Load : 57.5 
Epoch 690/5000, Loss: 0.04793152249440914, CPU Load : 56.8 
Epoch 700/5000, Loss: 0.010565066360868514, CPU Load : 55.6 
Epoch 710/5000, Loss: 0.010585487016658412, CPU Load : 59.1 
Epoch 720/5000, Loss: 0.009721285152453475, CPU Load : 70.5 
Epoch 730/5000, Loss: 0.014303469571864187, CPU Load : 67.2 
Epoch 740/5000, Loss: 0.008391215238811039, CPU Load : 63.2 
Epoch 750/5000, Loss: 0.14765680195173111, CPU Load : 55.9 
Epoch 760/5000, Loss: 0.0066192357732755384, CPU Load : 56.2 
Epoch 770/5000, Loss: 0.005648249757430721, CPU Load : 57.1 
Epoch 780/5000, Loss: 0.006225020654510889, CPU Load : 56.0 
Epoch 790/5000, Loss: 0.0029749056429420485, CPU Load : 55.9 
Epoch 800/5000, Loss: 0.00572611626930444, CPU Load : 55.6 
Epoch 810/5000, Loss: 0.0032815311974334735, CPU Load : 56.8 
Epoch 820/5000, Loss: 0.0036373459435885816, CPU Load : 55.9 
Epoch 830/5000, Loss: 0.0027078785301788096, CPU Load : 55.9 
Epoch 840/5000, Loss: 0.002010219922451098, CPU Load : 56.8 
Epoch 850/5000, Loss: 0.012946545967701596, CPU Load : 56.6 
Epoch 860/5000, Loss: 0.0030360709564907977, CPU Load : 56.2 
Epoch 870/5000, Loss: 0.0025783176718438727, CPU Load : 56.0 
Epoch 880/5000, Loss: 0.0019756297243009435, CPU Load : 53.5 
Epoch 890/5000, Loss: 0.00347769950841633, CPU Load : 50.6 
Epoch 900/5000, Loss: 0.0016467161636328233, CPU Load : 50.6 
Epoch 910/5000, Loss: 0.002186800716317077, CPU Load : 50.8 
Epoch 920/5000, Loss: 0.0016310576000073413, CPU Load : 50.6 
Epoch 930/5000, Loss: 0.0010550765731661559, CPU Load : 50.6 
Epoch 940/5000, Loss: 0.0010885075204963115, CPU Load : 50.6 
Epoch 950/5000, Loss: 0.0015779273018734984, CPU Load : 50.6 
Epoch 960/5000, Loss: 0.0008199281052461961, CPU Load : 50.5 
Epoch 970/5000, Loss: 0.0008900472086857119, CPU Load : 50.5 
Epoch 980/5000, Loss: 0.010755984353969192, CPU Load : 51.5 
Epoch 990/5000, Loss: 0.002093137054499693, CPU Load : 50.8 
Epoch 1000/5000, Loss: 0.002865133083371514, CPU Load : 50.6 
Epoch 1010/5000, Loss: 0.0011970619071223886, CPU Load : 50.4 
Epoch 1020/5000, Loss: 0.0017483661711860516, CPU Load : 50.6 
Epoch 1030/5000, Loss: 0.0019042394089366298, CPU Load : 50.6 
Epoch 1040/5000, Loss: 0.003703482866268775, CPU Load : 50.6 
Epoch 1050/5000, Loss: 0.001056087422312419, CPU Load : 50.6 
Epoch 1060/5000, Loss: 0.0009197760651969896, CPU Load : 50.6 
Epoch 1070/5000, Loss: 0.001394322719999941, CPU Load : 50.6 
Epoch 1080/5000, Loss: 0.0011836992709460192, CPU Load : 50.6 
